mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
jiushishoudiantongbuliang	就__是__手___电___筒___不_亮____
yelandehuanlegeigehaopingba	也_懒__得_换___了_给__个_好__评___吧_
yongzhefeichangfangbian	用___着__非__常____方___便___
shengyinda	声____音__大_
zitida	字_体_大_
feichanghoushi	非__常____厚__实__
geinainaimaide	给__奶__奶__买__的_
tafeichangxihuan	她_非__常____喜_欢___
zanshimeifaxianwenti	暂__时__没__发_现___问__题_
haoping	好__评___
bucuo	不_错__
shengyinhenda	声____音__很__大_
shihelaorenyong	适__合_老__人__用___
shoujimanhaoyongde	手___机_蛮__好__用___的_
shengyinmanxiangliangde	声____音__蛮__响____亮____的_
weiyibuhaodejiushishoujimeiyoutiemo	唯__一_不_好__的_就__是__手___机_没__有__贴__膜_
shoujitinghao	手___机_挺___好__
kefuyehenreqing	客_服_也_很__热_情___
henmanyi	很__满__意_
henshibaideyicigouwu	很__失__败__的_一_次_购__物_
shoujizhiliangfeichangbuhao	手___机_质__量____非__常____不_好__
kefudetaiduyecha	客_服_的_态__度_也_差__
zhenshirangrenhenbuyukuai	真___是__让___人__很__不_愉_快___
shenmai	慎___买__
laobalaoxihuanle	老__爸_老__喜_欢___了_
dadianhualaiyigejinshuohao	打_电___话__来__一_个_劲__说___好__
shengyinda	声____音__大_
hainengbaohaoma	还__能___报__号__码_
ziyouda	字_又__大_
buyongdaihuajingyenengkandao	不_用___戴__花__镜___也_能___看__到__
shoujimeifashuohaobuhao	手___机_没__法_说___好__不_好__
kanzhebucuo	看__着__不_错__
keshimeimeishuoshoujicunhaomashihuichuxianyidaodaowenlubuzhishenmeqingkuangwoyoumeizaijia	可_是__妹__妹__说___手___机_存__号__码_时__会__出__现___一_道__道__纹__路_不_知__什___么_情___况____我_又__没__在__家__
benlaigeibabamaidetingshuobabayemeiyong	本__来__给__爸_爸_买__的_听___说___爸_爸_也_没__用___
baobeishoudao	宝__贝__收___到__
maigeilaobadelaorenjiahenxihuanshengyinhendayouhenqingxidaxiaoganghaoxiexielaoban	买__给__老__爸_的_老__人__家__很__喜_欢___声____音__很__大_又__很__清___晰_大_小___刚___好__谢__谢__老__板__
haopingwufen	好__评___五_分__
zhegeshoujiqueshibucuo	这__个_手___机_确__实__不_错__
caozuojiandan	操__作__简___单__
xinhaohao	信__号__好__
geifumuyirendoumailayige	给__父_母_一_人__都__买__啦_一_个_
haixing	还__行___
shihelaonianren	适__合_老__年___人__
danshikehumeiyouzhudongjianglingjuandeshiqing	但__是__客_户_没__有__主__动___讲____领___卷___的_事__情___
duohualedianqian	多__花__了_点___钱___
maigeilaobayongde	买__给__老__爸_用___的_
ganjueyanzhihaikeyi	感__觉__颜__值__还__可_以_
kankanyongqilaizenmeyangba	看__看__用___起_来__怎__么_样___吧_
quedianbanbenbijiaodi	缺__点___版__本__比_较___低_
buzhichidongtaibizhi	不_支__持__动___态__壁_纸__
shoujiduanxinchucun50tiao	手___机_短___信__储__存__50条___
shangxiazuoyoujianlouguang	上____下__左__右__键___漏__光____
shoujizailaobandianpukandeshihounamexiao	手___机_在__老__板__店___铺_看__的_时__候__那_么_小___
maileyikannamedatuo	买__了_一_看__那_么_大_坨__
bengkuile	崩___溃__了_
maigeiyige86suilaorenle	买__给__一_个_86岁__老__人__了_
tashuotinghaode	她_说___挺___好__的_
zuizhuyaoshikeyibaoshijian	最__主__要__是__可_以_报__时__间___
tafeichangmanyi	她_非__常____满__意_
qitadeshoujidoubuxihuan	其_他_的_手___机_都__不_喜_欢___
youbuzhong	又__不_重____
shengyingouda	声____音__够__大_
anjiandadianhuahengoujin	按_键___打_电___话__很__够__劲__
gongnengbucuo	功___能___不_错__
xihuandeganjinxiashou	喜_欢___的_赶__紧__下__手___
buyaoyouyuo	不_要__犹__豫_哦
diyikuaiyonglebudaoyiniantingtonghuaile	第_一_块___用___了_不_到__一_年___听___筒___坏___了_
danshilaorenyongxiguanle	但__是__老__人__用___习_惯___了_
haishiyoumaileyikuai	还__是__又__买__了_一_块___
xiwangzhekuaiyongdeshijianjiuyidian	希_望___这__块___用___的_时__间___久__一_点___
zhendianzhibao	镇___店___之__宝__
bukuishi	不_愧__是__
a	啊
zhiliangganggangde	质__量____杠___杠___的_
laomashuodaziti	老__妈_说___大_字_体_
shengyinda	声____音__大_
geitashezhihaolekuaijiejian	给__她_设__置__好__了_快___捷__键___
tashuohenfangbian	她_说___很__方___便___
laorenjiushibuxiguanchupingdebuxiaoxinjiuzhaobudaonaershinaerle	老__人__就__是__不_习_惯___触__屏___的_不_小___心__就__找___不_到__哪_儿_是__哪_儿_了_
shoujibudafangdouliyefangbian	手___机_不_大_放___兜__里_也_方___便___
xiexieshangjia	谢__谢__商____家__
yihouhaihuiguanggude	以_后__还__会__光____顾_的_
diercimaile	第_二_次_买__了_
shoujihenhao	手___机_很__好__
babamamahenmanyi	爸_爸_妈_妈_很__满__意_
kefuyehenhao	客_服_也_很__好__
nenggounaixinjiedayiwen	能___够__耐__心__解__答_疑_问__
diercimaile	第_二_次_买__了_
shoujihenhao	手___机_很__好__
babamamahenmanyi	爸_爸_妈_妈_很__满__意_
kefuyehenhao	客_服_也_很__好__
nenggounaixinjiedayiwen	能___够__耐__心__解__答_疑_问__
mailaigeilaorenyongde	买__来__给__老__人__用___的_
qitameishenmewenti	其_他_没__什___么_问__题_
danshizengpin	但__是__赠___品__
shuoshisongde	说___是__送___的_
haiburubusong	还__不_如_不_送___
dukaqineicunkadouyongbule	读_卡_器_内__存__卡_都__用___不_了_
doushihuaide	都__是__坏___的_
shoujishimaigeinongcundebamayong	手___机_是__买__给__农___村__的_爸_妈_用___
zhilianghenhao	质__量____很__好__
yinzhiyehenhao	音__质__也_很__好__
suoaidezhengpinjizi	索__爱_的_正____品__机_子_
mailaisonggeilaobayongde	买__来__送___给__老__爸_用___的_
kuanshihao	款___式__好__
shihelaonianren	适__合_老__年___人__
laobaxihuantingyinle	老__爸_喜_欢___听___音__乐_
ganghaojiziyinzhibucuo	刚___好__机_子_音__质__不_错__
pingmuxianshixiaoguofeichanghao	屏___幕_显___示__效___果__非__常____好__
feichangqingxi	非__常____清___晰_
laobahenxihuan	老__爸_很__喜_欢___
henmanyideyicigouwu	很__满__意_的_一_次_购__物_
shoujihenpiaoliang	手___机_很__漂___亮____
wobashoujidangzuoshengriliwusonggeilaoren	我_把_手___机_当___作__生____日_礼_物_送___给__老__人__
tamenhenxihuan	他_们__很__喜_欢___
erqiehaisong8gneicunkataihuasuanle	而_且__还__送___8g内__存__卡_太__划__算___了_
erqieshoujicaozuojiandanyidong	而_且__手___机_操__作__简___单__易_懂___
jiaoyixiatamenjiuhuishiyongle	教___一_下__他_们__就__会__使__用___了_
sanbaikuaigeitamenmaigekaixintaihuasuanle	三__百__块___给__他_们__买__个_开__心__太__划__算___了_
shoudaohuojiupobujidaidedakaile	收___到__货__就__迫_不_及_待__的_打_开__了_
meiyoushiwango	没__有__失__望___哦
bitupianshangdehaokan	比_图_片___上____的_好__看__
zhiganhenhao	质__感__很__好__
weiyibumanyidedefangjiushikuaidimansile	唯__一_不_满__意_的_地_方___就__是__快___递_慢__死_了_
chuanshuozhongdeshunfengbushihenkuaideme	传____说___中____的_顺___丰___不_是__很__快___的_么_
zongtishanghaishihenmanyide	总___体_上____还__是__很__满__意_的_
xianshuobaobeihenpiaoliang	先___说___宝__贝__很__漂___亮____
queshihenjingmei	确__实__很__精___美__
henshihenvshengshiyong	很__适__合_女_生____使__用___
feichangxihuan	非__常____喜_欢___
danshikefujiubuliwo	但__是__客_服_就__不_理_我_
shuosongdexinnianlibaochongdianbaohepitaoxiangziligenbenjiumeiyou	说___送___的_新__年___礼_包__充____电___宝__和_皮_套__箱____子_里_根__本__就__没__有__
xiwangkefunenggeiwogejieshi	希_望___客_服_能___给__我_个_解__释__
shoujihenshishanghenqing	手___机_很__时__尚____很__轻___
chaobaokuande	超___薄__款___的_
waiguangerenhenmanyi	外__观___个_人__很__满__意_
dengyongyiduanshijianzailaipingjiaba	等___用___一_段___时__间___再__来__评___价__吧_
kuaidizhendehengeili	快___递_真___的_很__给__力_
2tianbudaojiushoudaole	2天___不_到__就__收___到__了_
meimeide	美__美__的_
shiwoxihuandeleixing	是__我_喜_欢___的_类__型___
daxiaoshougandouhenbang	大_小___手___感__都__很__棒___
moshahoukeyanzhihengao	磨_砂__后__壳_颜__值__很__高__
zengsongdetaoyehenhao	赠___送___的_套__也_很__好__
fanzhengxianzaiyongzhehenliuchang	反__正____现___在__用___着__很__流__畅____
shouxiankuaidianhenkuai	首___先___快___点___很__快___
liangtianjiudaole	两____天___就__到__了_
haiyoujiushikefuhennaixin	还__有__就__是__客_服_很__耐__心__
shoujifeichangdefenfende	手___机_非__常____的_粉__粉__的_
shaonvxin	少___女_心__
baozhuangdaochongdianqi	包__装_____到__充____电___器_
douhennvxinghua	都__很__女_性___化__
yiqianxiguanyongvivode	以_前___习_惯___用___vivo的_
xianzaihaobuxiguanzhege	现___在__好__不_习_惯___这__个_
zhuyaoshikanzhongxiangsu	主__要__是__看__中____像____素_
manmanxiguanba	慢__慢__习_惯___吧_
zongzhifeichangxihuan	总___之__非__常____喜_欢___
haoping	好__评___
shoujihaixing	手___机_还__行___
zengpinzipaigandoushihuaide	赠___品__自_拍__杆__都__是__坏___的_
bunengyong	不_能___用___
zhegejiage	这__个_价__格_
jibenmanyi	基_本__满__意_
yongduanshijianzaishuo	用___段___时__间___再__说___
shoujitinghaode	手___机_挺___好__的_
kefufuwuyehenhao	客_服_服_务_也_很__好__
haisonglehenduodongxi	还__送___了_很__多__东___西_
zongzhizhegejiaqianzhile	总___之__这__个_价__钱___值__了_
zhishiruguonengyouerjijiuhaole	只__是__如_果__能___有__耳_机_就__好__了_
bupeierjide	不_配__耳_机_的_
pingxianyiban	屏___显___一_般__
kanzheyoudianhua	看__着__有__点___花__
bushihenqingchu	不_是__很__清___楚__
zhegejiaweiyejiuzheyangle	这__个_价__位__也_就__这__样___了_
haishigeigehaopingba	还__是__给__个_好__评___吧_
yijingtiyanjitianle	已_经___体_验__几_天___了_
yigongsantaijizi	一_共___三__台__机_子_
feichangmanyi	非__常____满__意_
dianchibipingguodenaiyong	电___池__比_苹___果__的_耐__用___
jixubaochiba	继_续_保__持__吧_
geibabamaide	给__爸_爸_买__的_
shoujihaixing	手___机_还__行___
songlebushaoliwu	送___了_不_少___礼_物_
shuoshihuahaoduodouyongbushang	说___实__话__好__多__都__用___不_上____
yiweijuhuasuanjianbianyile	以_为__聚_划__算___捡___便___宜_了_
jieguoxianzaiyiyangdejiaqian	结__果__现___在__一_样___的_价__钱___
shoujilvehou	手___机_略__厚__
hougaibaoruzhi	后__盖__薄__如_纸__
shengyintaixiao	声____音__太__小___
xinhaoyebuhao	信__号__也_不_好__
yunxinghaisuanliuchang	运__行___还__算___流__畅____
songdedongxitailaji	送___的_东___西_太__垃_圾_
dukaqijiushihuaide	读_卡_器_就__是__坏___的_
zipaiganyilajiuhuai	自_拍__杆__一_拉_就__坏___
yaomejiubusong	要__么_就__不_送___
yaomejiusongnengyongdedongxi	要__么_就__送___能___用___的_东___西_
zhiliangtaicha	质__量____太__差__
yonglebangeyuetingtonghuaile	用___了_半__个_月__听___筒___坏___了_
xianzaidadianhuazhinengyongmianti	现___在__打_电___话__只__能___用___免___提_
henhao	很__好__
zhendebucuo	真___的_不_错__
biyudinghaiyaohao	比_预_定___还__要__好__
zhendefeichangbucuo	真___的_非__常____不_错__
xingjiabihengao	性___价__比_很__高__
jiushizhegekashizuixiaoka	就__是__这__个_卡_是__最__小___卡_
woqujianleyixiakacaiyongde	我_去_剪___了_一_下__卡_才__用___的_
bucuobucuo	不_错__不_错__
huowushoudao	货__物_收___到__
wuliufeichangkuai	物_流__非__常____快___
fuwuyebucuoshoujihenhaokan	服_务_也_不_错__手___机_很__好__看__
diyitianyong	第_一_天___用___
ganjuehaixing	感__觉__还__行___
dengyongjitianzaizuojielun	等___用___几_天___在__做__结__论__
bucuo	不_错__
fahuokuai	发_货__快___
shizhengpin	是__正____品__
xingjiabigao	性___价__比_高__
shouganbucuo	手___感__不_错__
zhiderushou	值__得_入_手___
yijiuhuanxinde	以_旧__换___新__的_
ganjuezhi	感__觉__值__
shoujihaoyong	手___机_好__用___
jiqihenhenhaoyong	机_器_很__很__好__用___
maidaohoujiushile	买__到__后__就__试__了_
bucuodegouwu	不_错__的_购__物_
pingmuqueshifahuang	屏___幕_确__实__发_黄____
qitadedouhaibucuo	其_他_的_都__还__不_错__
shanguangdengxiamiandesuliaoyouxiaci	闪___光____灯___下__面___的_塑_料___有__瑕__疵_
yongqilaihaibucuo	用___起_来__还__不_错__
youyubuwanyouxi	由__于_不_玩__游__戏_
wifiwentiduiwoeryanyingxiangbuda	wifi问__题_对__我_而_言__影___响____不_大_
liuchangduxuhangshadedoubucuo	流__畅____度_续_航___啥__的_都__不_错__
shoujidaerpiaoliang	手___机_大_而_漂___亮____
henxihuan	很__喜_欢___
henhao	很__好__
zhiqiandemx2mailebujiuhomejianjiuchuwentile	之__前___的_mx2买__了_不_久__home键___就__出__问__题_了_
buguoxiulejiuhaole	不_过__修__了_就__好__了_
youyonglejin2nian	又__用___了_近__2年___
xianzaidemx5chaojixihuan	现___在__的_mx5超___级_喜_欢___
danyuanbuyaochuwenti	但__愿___不_要__出__问__题_
yunxingdengdoufeichanghao	运__行___等___都__非__常____好__
xihuan	喜_欢___
henbangdeshouji	很__棒___的_手___机_
suduhenkuai	速_度_很__快___
xihuan	喜_欢___
henhao	很__好__
shaoyoudianhou	稍___有__点___厚__
pingmuchuganhenshufu	屏___幕_触__感__很__舒__服_
haimeishiyongguojitianlaizhuijia	还__没__使__用___过__几_天___来__追___加__
zuotianwanshangdingde	昨__天___晚__上____定___的_
diertianshangwujiudaole	第_二_天___上____午_就__到__了_
songhuosuduhenkuaizanshishishoujimeiyoumaobing	送___货__速_度_很__快___暂__时__是__手___机_没__有__毛__病___
yaozaisonggejiankaqijiuhaole	要__在__送___个_剪___卡_器_就__好__了_
shoujitinghao	手___机_挺___好__
yongzhehenhao	用___着__很__好__
shouganyebucuo	手___感__也_不_错__
haokanyouhaoyong	好__看__又__好__用___
henmanyi	很__满__意_
kuaidiyehenkuai	快___递_也_很__快___
shoujibucuo	手___机_不_错__
wuliutingkuai	物_流__挺___快___
baozhuangyehenhao	包__装_____也_很__好__
jingdongwuliujiushikuai	京___东___物_流__就__是__快___
zuotianxiadedan	昨__天___下__的_单__
jintianxiawujiusongdaole	今__天___下__午_就__送___到__了_
shoujihaibucuo	手___机_还__不_错__
yongzhetingshufude	用___着__挺___舒__服_的_
jiushipaizhaozhenxinbuzade	就__是__拍__照___真___心__不_咋_地_
1300wandepaichulaixiaoguobuzhen	1300万__的_拍__出__来__效___果__不_真___
zheshidisanbule	这__是__第_三__部_了_
meiyouchuguorenhewenti	没__有__出__过__任__何_问__题_
doushuohaoyong	都__说___好__用___
zhidexuangou	值__得_选___购__
zhichijingdongyuanzhuangzhengpin	支__持__京___东___原___装_____正____品__
tinghaode	挺___好__的_
jiushihuanshoujikabutaifangbian	就__是__换___手___机_卡_不_太__方___便___
tayongdeshigenpingguoyiyangdezuixiaohaodeka	他_用___的_是__跟__苹___果__一_样___的_最__小___号__的_卡_
youxiemafan	有__些__麻_烦__
erqiezaicunchuka2kazhijianzhinengxuanyige	而_且__在__存__储__卡_2卡_之__间___只__能___选___一_个_
zongtipingjiaxingnenghaisuanhenhao	总___体_评___价__性___能___还__算___很__好__
xingjiabihengao	性___价__比_很__高__
yunzhuanliuchang	运__转____流__畅____
haikeyiba	还__可_以_吧_
meifaxianshenmewenti	没__发_现___什___么_问__题_
fahuohenkuai	发_货__很__快___
erqiexiangjishizaishitailajile	而_且__相____机_实__在__是__太__垃_圾_了_
zenmepaidoushihude；	怎__么_拍__都__是__糊_的_；
dongxiyiban	东___西_一_般__
pingmubiankuangfujiananjiangenbenjiubulingmin	屏___幕_边___框____附_件___按_键___根__本__就__不_灵___敏__
chengxukaiduole	程____序_开__多__了_
haishiyoubijiaomingxiandekadunde；	还__是__有__比_较___明___显___的_卡_顿__的_；
danshibijingzhiyou799	但__是__毕_竟___只__有__799
haixingba	还__行___吧_
couhezheyong；	凑__合_着__用___；
shoujifeichanghao	手___机_非__常____好__
jialianwumei	物__美___价_廉__
feichangzhi	非__常____值__
jingdongdewuliuqueshikuai	京___东___的_物_流__确__实__快___
yinweishixianshiqianggousuoyikandoumeikanjiumaile	因__为__是__限___时__抢____购__所__以_看__都__没__看__就__买__了_
mailezhihoukanlameduochapingxindouliangle	买__了_之__后__看__辣_么_多__差__评___心__都__凉____了_
baobeihenkuai	宝__贝__很__快___
zaoshangmaidexiawujiudaole	早__上____买__的_下__午_就__到__了_
yongzhehaibucuo	用___着__还__不_错__
youshenmewentiwohuizhuipingde	有__什___么_问__题_我_会__追___评___的_
dongxihenhao	东___西_很__好__
henpiaoliang	很__漂___亮____
yunxinghenliuchang	运__行___很__流__畅____
kuaiditekuai	快___递_特_快___
dongxihenhao	东___西_很__好__
henxihuan	很__喜_欢___
bucuo	不_错__
yitianbanjiudaole	一_天___半__就__到__了_
haha	哈_哈_
yikuanbucuodeshouji	一_款___不_错__的_手___机_
xingjiabihengao	性___价__比_很__高__
xiangxinmeizu	相____信__魅__族_
shoujiyijingzaishiyong	手___机_已_经___在__使__用___
ganjuehenhao	感__觉__很__好__
jiushidianchidediaodianyoudiankuai	就__是__电___池__的_掉___电___有__点___快___
799yuanqiangdaode	799元___抢____到__的_
chaozhi	超___值__
feichangxihuan	非__常____喜_欢___
xingnengwending	性___能___稳__定___
wuchaosuozhi	物_超___所__值__
shoujihenbucuozheyijingshidiertaile	手___机_很__不_错__这__已_经___是__第_二_台__了_
xingjiabifeichanggao	性___价__比_非__常____高__
shoujizhiliangyehenbucuo	手___机_质__量____也_很__不_错__
jintiannadaohuofeichangmanyi	今__天___拿_到__货__非__常____满__意_
kuaidihenkuaihenfuze	快___递_很__快___很__负_责_
shoujigongnengqiangdafanzhengyekuai	手___机_功___能___强____大_反__正____也_快___
chaozan	超___赞__
daohuole	到__货__了_
youyushimaigeiwodi	由__于_是__买__给__我_弟_
suoyibuzhidaozenmeyang	所__以_不_知__道__怎__么_样___
buguotahenxihuan	不_过__他_很__喜_欢___
hahaha	哈_哈_哈_
shiyongzhong	使__用___中____
haikeyi	还__可_以_
jiushidianchibunaiyong	就__是__电___池__不_耐__用___
shoujibucuo	手___机_不_错__
kaijiliuchang	开__机_流__畅____
shizhengpin	是__正____品__
shangwushoudaohuo	上____午_收___到__货__
bangbierenmaide	帮___别__人__买__的_
ganjuehaibucuo	感__觉__还__不_错__
zhegenote2pingmubiwodenote1liangduhaigao	这__个_note2屏___幕_比_我_的_note1亮____度_还__高__
secaigengyan	色_彩__更___艳__
kacaodezuogongyebi1hao	卡_槽__的_做__工___也_比_1好__
jiushiwaifanghe1shiyiyang	就__是__外__放___和_1是__一_样___
doushizhazha	都__是__渣__渣__
zongdelaishuohenchaozhi	总___得_来__说___很__超___值__
bihongminote2dezuogonghao	比_红___米_note2的_做__工___好__
meizudeflymeyebimiuigenghaoshangshou	魅__族_的_flyme也_比_miui更___好__上____手___
buzhidaonaxiekuamiuideyongguoma	不_知__道__那_些__夸__miui的_用___过__吗_
congtonghuajiluzhongbaocunyigedianhuahaomadaolianxirenzhongdouhennan	从___通___话__记_录_中____保__存__一_个_电___话__号__码_到__联___系_人__中____都__很__难__
buzhidaomiuihaozaina	不_知__道__miui好__在__哪_
fahuosudukuai	发_货__速_度_快___
zaoshangmai	早__上____买__
xiawujiudao	下__午_就__到__
henbucuo	很__不_错__
zheshidisancigoumaile	这__是__第_三__次_购__买__了_
wuliuyekuai	物_流__也_快___
wuliumankuai	物_流__蛮__快___
xinjihaimeiyong	新__机_还__没__用___
buzhidaoxiaoguoruhe	不_知__道__效___果__如_何_
shoujishoudaole	手___机_收___到__了_
wuliuhengeili	物_流__很__给__力_
shoujiyehenhao	手___机_也_很__好__
bucuo	不_错__
bucuo	不_错__
bucuo	不_错__
pingmufahuangyanzhong	屏___幕_发_黄____严__重____
shadoumeisong	啥__都__没__送___
bujianyigoumaicichangpin	不_建___议_购__买__此_厂____品__
suduhenkuai	速_度_很__快___
feichangbang	非__常____棒___
ganjuehenbang	感__觉__很__棒___
gangshoudao	刚___收___到__
dianhuakachicunbudui	电___话__卡_尺__寸__不_对__
haimeishiyong	还__没__试__用___
ganjuehaibucuo	感__觉__还__不_错__
xiandawufen	先___打_五_分__
fahuosuduhenkuai	发_货__速_度_很__快___
wuliuyehenkuai	物_流__也_很__快___
danshidaowomenzhelibantianshijiancaisongguolai	但__是__到__我_们__这__里_半__天___时__间___才__送___过__来__
erqiegaosuwobugeisonghuoshangmen	而_且__告__诉_我_不_给__送___货__上____门__
dexialouquna	得_下__楼__去_拿_
songhuohenkuai	送___货__很__快___
kuaidisonghuokuai	快___递_送___货__快___
taiduhao	态__度_好__
huowubaozhuangwanhao	货__物_包__装_____完__好__
diyiciwanggoushouji	第_一_次_网___购__手___机_
henshimanyi	很__是__满__意_
shoujixianshideyansebaohedutaiguole	手___机_显___示__的_颜__色_保__和_度_太__过__了_
paigerenliancaidaobuxing	拍__个_人__脸___彩__到__不_行___
yuanbenyiweishixiangjiwenti	原___本__以_为__是__相____机_问__题_
jieguodiannaoshangdaojinshoujidezhaopianyeshizheyang	结__果__电___脑__上____导__进__手___机_的_照___片___也_是__这__样___
benlaibushihenyandeyansebiandehenyan	本__来__不_是__很__艳__的_颜__色_变___得_很__艳__
benlaijiuyandeyansezhijiehuangyan	本__来__就__艳__的_颜__色_直__接__晃____眼__
kanshangquxiangyingguangxiaoguo	看__上____去_像____萤___光____效___果__
shineishuohuayoudianbuqingxi	室__内__说___话__有__点___不_清___晰_
yinggaishixinhaowentiba	应___该__是__信__号__问__题_吧_
qitazanshimeiyouwenti	其_它_暂__时__没__有__问__题_
fanyinghaikeyi	反__应___还__可_以_
zhichiguochan	支__持__国__产___
xiwangmeizujixunuli	希_望___魅__族_继_续_努_力_
songhuohenkuai	送___货__很__快___
shangwuxiadanxiawujiudao	上____午_下__单__下__午_就__到__
tingbucuode	挺___不_错__的_
henxihuan	很__喜_欢___
bucuodeshouji	不_错__的_手___机_
henxihuan	狠__喜_欢___
henxihuan	狠__喜_欢___
gangdaodehuo	刚___到__的_货__
zuotiandingde	昨__天___订___的_
ganjuehaikeyi	感__觉__还__可_以_
geibabamaide	给__爸_爸_买__的_
5haozongyuqiangdaole	5号__总___于_抢____到__了_
shiyibuxingjiabigaodeyibushouji	是__一_部_性___价__比_高__的_一_部_手___机_
meizujiushigeili	魅__族_就__是__给__力_
youshejiyoupinweiderumenkuanshouji	有__设__计_有__品__位__的_入_门__款___手___机_
gouyongle	够__用___了_
zhichimeizu	支__持__魅__族_
shoujizuoxiajiaobiankuangyupingmuyoufengxi	手___机_左__下__角___边___框____与_屏___幕_有__缝___隙_
wozaishoushangyoukabakabadeshengyin	握_在__手___上____有__咔_吧_咔_吧_的_声____音__
haijiangpingmudebaohumodiqilaiyupingmufenkai	还__将____屏___幕_的_保__护_膜_抵_起_来__与_屏___幕_分__开__
yisongshouyouhuifuyuanyang	一_松___手___有__回__复_原___样___
buzenmeyang	不_怎__么_样___
bucuobucuo	不_错__不_错__
zhegejiage	这__个_价__格_
bijiaozhide	比_较___值__的_
jizihaikeyi	机_子_还__可_以_
zhichiguochan	支__持__国__产___
suduyetingkuaide	速_度_也_挺___快___的_
suishuobibushangnaxiegaoduanji	虽__说___比_不_上____那_些__高__端___机_
keshixingjiabihengao	可_是__性___价__比_很__高__
yesuanshizhile	也_算___是__值__了_
diyiciyongmeizupinpaideshouji	第_一_次_用___魅__族_品__牌__的_手___机_
wanlebantianganjuehenhao	玩__了_半__天___感__觉__很__好__
799xingjiabigao	799性___价__比_高__
xitongzuodeyehenhao	系_统___做__的_也_很__好__
jingdongsonghuobiyiqianyekuailehenduo	京___东___送___货__比_以_前___也_快___了_很__多__
yiqianyouzhengsonghuotaimanle	以_前___邮__政____送___货__太__慢__了_
jixuzhichijingdong	继_续_支__持__京___东___
zuogongzhashi	做__功___扎__实__
qianyuanjineisuanzuihaodele	千___元___机_内__算___最__好__的_了_
yunxingsudukuai	运__行___速_度_快___
gangshoudaohuo	刚___收___到__货__
zhengzaitiyanzhong	正____在__体_验__中____
guoduanshijianzaishuojutiqingkuangba	过__段___时__间___再__说___具_体_情___况____吧_
shoujizhizhegejiawei	手___机_值__这__个_价__位__
bangtongshimaide	帮___同___事__买__的_
tahenxihuan	他_很__喜_欢___
henhaoyong	很__好__用___
bucuo	不_错__
yizhixiangxinjingdong	一_直__相____信__京___东___
wuliuxianghuojianyiyangkuai	物_流__像____火__箭___一_样___快___
shoujiyehenhao	手___机_也_很__好__
meishawenti	没__啥__问__题_
bangtongshimaide	帮___同___事__买__的_
haimeiyong	还__没__用___
wuliusuduwudi	物_流__速_度_无_敌_
toutianpaidiertianshangwudaohuo	头__天___拍__第_二_天___上____午_到__货__
kuaidisudubucuo	快___递_速_度_不_错__
haimeiyouyong	还__没__有__用___
dasuansongren	打_算___送___人__
zhibuguoganjuejiziwaiguankeyigaishanxia	只__不_过__感__觉__机_子_外__观___可_以_改__善___下__
zongzhihaibucuoba	总___之__还__不_错__吧_
songhuohenkuai	送___货__很__快___
haikeyi	还__可_以_
bijiaomanyi	比_较___满__意_
dianhuashoudaole	电___话__收___到__了_
kanzhewaiguanhenxihuan	看__着__外__观___很__喜_欢___
haimeiyongne	还__没__用___呢_
woyuanlaidekashidakahaidequjianka	我_原___来__的_卡_是__大_卡_还__得_去_剪___卡_
yonglecaizhidaozenmeyang	用___了_才__知__道__怎__么_样___
danshiwozhouweidepengyouyongzhedoutinghaode	但__是__我_周___围__的_朋___友__用___着__都__挺___好__的_
geididimaide	给__弟_弟_买__的_
dazhikanlekan	大_致__看__了_看__
ganjuebucuo	感__觉__不_错__
xiangsu1300wan	像____素_1300万__
taicha	太__差__
haiburupingguo4de400wan	还__不_如_苹___果__4的_400万__
xingjiabigao	性___价__比_高__
fanyingsudukuai	反__应___速_度_快___
wuliugeili	物_流__给__力_
zan	赞__
shoujihaixingshoucishiyongjingdong	手___机_还__行___首___次_使__用___京___东___
tingkuaide	挺___快___的_
wuliusuduzhenkuai	物_流__速_度_真___快___
yitianjiudaohuole	一_天___就__到__货__了_
kuaidizhengeili	快___递_真___给__力_
zuotiancaixiadedanzi	昨__天___才__下__的_单__子_
jintianjiudaole	今__天___就__到__了_
jiankayihoujiunengyongle	剪___卡_以_后__就__能___用___了_
bangbierenmaide	帮___别__人__买__的_
diergele	第_二_个_了_
xiwangbiechuwenti	希_望___别__出__问__题_
wuliukuai	物_流__快___
jixingqingqiao	机_型___轻___巧___
bixiangxiangzhongdeyaohao	比_想____像____中____的_要__好__
diyiciwanggou	第_一_次_网___购__
juranshunli	居_然__顺___利_
ganen	感__恩_
bucuo	不_错__
tinghaode	挺___好__的_
shihui	实__惠__
henxihuan	很__喜_欢___
henbucuo	很__不_错__
zhidegoumai	值__得_购__买__
yizhizaiyongmeizu	一_直__在__用___魅__族_
henfangxin	很__放___心__
zuogonghao	做__工___好__
deshoujianjiaweibi	的_手___机_按_价__位__比_
rengshuzhidegoumai	仍___属__值__得_购__买__
peizhirengshukeyi	配__置__仍___属__可_以_
deposhoujifangzaifanzhuoshangma	的_破_手___机_放___在__饭__桌___上____吗_
zhichimeizupinpai	支__持__魅__族_品__牌__
xinhaowending	信__号__稳__定___
gongnengqiquan	功___能___齐_全___
xingjiabigao	性___价__比_高__
gangnadaodekuaidi	刚___拿_到__的_快___递_
